你	ты (nǐ)
好	хорошо (hǎo)
吗	вопросительная частица (ma)
我	я (wǒ)
很	очень (hěn)
呢	модальная частица （ne)
也	тоже, также (yě)
忙	занятой (máng)
不	нет, не (bù)
哥哥	старший брат (gēge)
他	он (tā)
弟弟	младший брат (dìdi)
们	суффикс множественного числа (men)
都	все, всё (dōu)
这	это, этот (zhè)
是	есть, являться, быть (shì)
朋友	друг (péngyou)
爸爸	папа (bàba)
妈妈	мама (māma)
大夫	доктор; врач (dàifu)
的	служебное слово (de)
车	машина (chē)
那	то, тот (nà)
她	она (tā)
书	книга (shū)
哪	который, какой (nǎ)
国	страна, государство (guó)
人	человек; люди (rén)
谁	кто (shéi)
老师	учитель (lǎoshī)
汉语	китайский язык (hànyǔ)
什么	что, какой (shénme)
地图	карта (dìtú)
看	смотреть, читать (kàn)
请	просить, приглашать, пожалуйста (qǐng)
喝	пить (hē)
茶	чай (chá)
您	Вы (nín)
进	входить (jìn)
欢迎	приветствовать (huānyíng)
谢谢	спасибо (xièxie)
客气	вежливый (kèqi）
吸烟	курить (xīyān)
贵	знатный, дорогой (guì)
姓	называться по фамилии, фамилия (xìng)
叫	звать, называть, называться, именоваться (jiào)
问	спрашивать (wèn)
外语	иностранный язык (wàiyǔ)
学习	учиться, обучаться, заниматься, изучать (xuéxí)
学生	ученик, школьник, студент, учащийся (xuésheng)
学院	институт (высшее учебное заведение) (xuéyuàn)
在	находиться; в; на (zài)
坐	сидеть, садиться (zuò)
哪儿	где, куда (nǎr)
宿舍	1) общежитие (здание); 2 ) комната в общежитии (sùshè)
住	жить, проживать (zhù)
多少	сколько? (duōshao)
多	много (duō)
少	мало (shǎo)
号	1) номер; 2) разг. число (в дате) (hào)
四	четыре (sì)
层	этаж, слой, ярус (céng)
二	два (èr)
三	три (sān)
〇	ноль (líng)
一	один (yī)
五	пять (wǔ)
还	вернуть, возвращать, отдавать обратно (huán)
画报	Иллюстрированный журнал (huàbào)
画	картина, рисунок, рисовать, изображать (huà)
报	Газета (bào)
词典	словарь (cídiǎn)
词	слово (лексическая единица) (cí)
典	канон, сборник (diǎn)
现在	теперь, сейчас, в настоящее время (xiànzài)
用	употреблять, применять, использовать, пользоваться (yòng)
一下儿	разок, немного, недолго (yíxiàr)
再见	еще раз увидеться, до свидания, до встречи, пока (zàijiàn)
六	шесть (liù)
七	семь (qī)
八	восемь (bā)
九	девять (jiǔ)
十	десять (shí)
女	женщина (nǚ)
先生	мистер, господин (xiānsheng)
先	сначала, сперва, предок, раньше (xiān)
生	родить, родиться; жизнь; незрелый, сырой (shēng)
认识	1) быть знакомым, знакомиться; 2) опознавать зрительно, узнавать (rènshi)
认	знать, узнавать (rèn)
识	знать (shí)
俄语	Русский язык (éyǔ)
英语	Английский язык (yīngyǔ)
常	часто (cháng)
去	идти, ехать, направляться (qù)
她们	они (жен.) (tāmen)
俄罗斯	Россия (éluósī)
法国	Франция (fǎguó)
名字	имя, название (míngzi)
字	иероглиф (zì)
喂	эй, алло (wèi)
啊	а, ах (междометие) (à)
商店	магазин (shāngdiàn)
店	магазин (diàn)
买	покупать (mǎi)
笔	кисть, перо, карандаш, ручка (bǐ)
纸	бумага (zhǐ)
来	приходить (lái)
介绍	знакомить, представлять (jièshào)
男	мужчина (nán)
对	правильный, верный (duì)
了	модальное вспомогательное слово (le)
和	и, с (hé)
说	говорить (shuō)
中国	Китай (Zhōngguó)
丁云	Дин Юнь (фамилия и имя) (Dīng Yún)
英国	Англия (Yīngguó)
本子	Тетрадь (běnzi)
教授	профессор (jiàoshòu)
兄弟姐妹	братья и сестры (xiōng dì jiě mèi)
做	делать (zuò)
工作	работать; работа (gōngzuò)
想	1) думать 2) скучать (xiǎng)
家	дом, семья (jiā)
有	1) иметь, обладать; 2) есть, имеется (в наличии) (yǒu)
没	нет, не (méi)
妹妹	младшая сестра (mèimei)
姐姐	старшая сестра (jiějie)
银行	банк (yínháng)
银	серебро (yín)
行	контора, магазин; ряд; профессия (háng)
爱人	муж (или жена) (àirén)
爱	любовь (ài)
书店	книжный магазин (shūdiàn)
孩子	ребенок, дитя (háizi)
给	1) давать; 2) предлог (вводит косвенное дополнение "кому") (gěi)
写	писать (xiě)
信	письмо (xìn)
告诉	сказать, сообщить (кому либо) (gàosu)
