一	единица
丿	откидная влево
乙	второй (цикличный знак)
乚	второй (цикличный знак) 2
亅	вертикальная с крюком
二	два
亠	горизонтальная с точкой
人	человек
亻	человек 2
儿	идущий человек
八	восемь, делить
冖	крышка
几	столик, несколько
刀	нож
刂	нож 2
勹	обертывать
匕	черпак; кинжал
十	десять
卜	гадать
厶	частный, личный
又	правая рука, опять
口	рот
囗	окружать; ограда
土	земля
士	воин
夂	шагать вперед, продвигаться
夕	вечер
大	большой
女	женщина
子	ребенок, сын
宀	крыша с точкой; крыша
寸	вершок
小	маленький
尸	труп
山	гора
工	работа
巾	полотенце, салфетка
广	навес
弋	стрелять из лука
弓	лук
彐	голова свиньи
彑	голова свиньи 2
彡	перья, длинная шерсть
彳	шаг (левой ногой)
心	сердце
忄	сердце 2
戈	копье; клевец
手	рука
扌	рука 2
龵	рука 3
文	текст, письмена
斤	топор
日	солнце
月	луна
木	дерево
殳	бамбуковая пика
气	воздух, газ
水	вода
氵	вода 2
氺	вода 3
火	огонь
灬	огонь 2
爪	когти
爫	когти 2
父	отец
玉	яшма
⺩	яшма 2
生	рождаться, сырой
用	применять, использовать
田	поле
疋	нога, колено
白	белый
皿	блюдо
目	глаз
禾	хлеб на корню
竹	бамбук
⺮	бамбук 2
米	рис
糸	нить, шелк
糹	нить, шелк 2
纟	нить, шелк 3
网	сеть
罒	сеть 2
罓	сеть 3
⺳	сеть 4
老	старый
耂	старый 2
耳	ухо
艮	твердый, крепкий
艸	трава
艹	трава 2
行	идти, ряд
衣	одежда
衤	одежда 2
言	речь
訁	речь 2
讠	речь 3
豕	свинья
貝	раковина, сокровище
贝	раковина, сокровище 2
身	тело (человека)
車	телега, повозка
车	телега, повозка 2
辵	идти быстро
辶	быстро идти 2
⻌	идти быстро 3
⻍	идти быстро 4
邑	город
阝	город 2
金	золото, металл
釒	золото, металл 2
钅	золото, металл 3
長	длинный, старший
镸	длинный, старший 2
长	длинный, старший 3
門	ворота
门	ворота 2
阜	холм
阝	холм 2
隹	короткохвостая птица, голубь
食	еда, пища
飠	еда, пища 2
饣	еда, пища 3
馬	лошадь
马	лошадь 2
黑	черный
