要	желать, хотеть (yào)
服务员	обслуживающий персонал (fúwùyuán)
服务	служить, обслуживать (fúwù)
杯	сч. слово (чашка) (bēi)
姑娘	девушка (gūniang)
喜欢	нравиться; любить (xǐhuan)
花茶	ароматизированный чай (huāchá)
花	цветок (huā)
红茶	черный чай (hóngchá)
红	красный (hóng)
还是	или (вопросительный союз) (háishi)
可乐	кола (напиток) (kělè)
瓶	сч. слово (бутылка) (píng)
啤酒	пиво (píjiǔ)
酒	вино, алкоголь (jiǔ)
听	слушать (tīng)
民歌	народная песня (míngē)
古典	классика, классический (gǔdiǎn)
古	древний (gǔ)
音乐	музыка (yīnyuè)
现代	современность, современный (xiàndài)
代	эпоха (dài)
唱	петь (chàng)
歌儿	песня (gēr)
让	просить, велеть, разрешать (ràng)
别	не, не надо, нельзя (bié)
苹果	яблоко (píngguǒ)
果	плод, фрукт (guǒ)
水果	фрукты (shuǐguǒ)
糖果	конфеты, сладости (tángguǒ)
果汁	фруктовый сок (guǒzhī)
公斤	килограмм (gōngjīn)
自行车	велосипед (zìxíngchē)
自	нос, сам (zì)
行	ехать, двигаться (xíng)
复习	повторять (пройденный материал) (fùxí)
